Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Sat Oct 29 2022,7:30p,Indiana Pacers,125,Brooklyn Nets,116,Box Score,,17732,Barclays Center,
Sat Oct 29 2022,8:00p,Philadelphia 76ers,114,Chicago Bulls,109,Box Score,,19010,United Center,
Sat Oct 29 2022,8:00p,Atlanta Hawks,115,Milwaukee Bucks,123,Box Score,,17341,Fiserv Forum,
Sat Oct 29 2022,9:00p,Oklahoma City Thunder,117,Dallas Mavericks,111,Box Score,OT,20307,American Airlines Center,
Sat Oct 29 2022,9:00p,Memphis Grizzlies,123,Utah Jazz,124,Box Score,,18206,Vivint Arena,
Sun Oct 30 2022,3:00p,New Orleans Pelicans,112,Los Angeles Clippers,91,Box Score,,18142,Crypto.com Arena,
Sun Oct 30 2022,6:00p,Washington Wizards,94,Boston Celtics,112,Box Score,,19156,TD Garden,
Sun Oct 30 2022,6:00p,New York Knicks,108,Cleveland Cavaliers,121,Box Score,,19432,Rocket Mortgage Fieldhouse,
Sun Oct 30 2022,6:00p,Golden State Warriors,114,Detroit Pistons,128,Box Score,,20190,Little Caesars Arena,
Sun Oct 30 2022,7:00p,Minnesota Timberwolves,98,San Antonio Spurs,107,Box Score,,15053,AT&T Center,
Sun Oct 30 2022,7:30p,Orlando Magic,105,Dallas Mavericks,114,Box Score,,20042,American Airlines Center,
Sun Oct 30 2022,9:00p,Houston Rockets,109,Phoenix Suns,124,Box Score,,17071,Footprint Center,
Sun Oct 30 2022,9:30p,Denver Nuggets,110,Los Angeles Lakers,121,Box Score,,18997,Crypto.com Arena,
Mon Oct 31 2022,7:00p,Sacramento Kings,115,Charlotte Hornets,108,Box Score,,12020,Spectrum Center,
Mon Oct 31 2022,7:00p,Philadelphia 76ers,118,Washington Wizards,111,Box Score,,13746,Capital One Arena,
Mon Oct 31 2022,7:30p,Indiana Pacers,109,Brooklyn Nets,116,Box Score,,15770,Barclays Center,
Mon Oct 31 2022,7:30p,Atlanta Hawks,109,Toronto Raptors,139,Box Score,,19800,Scotiabank Arena,
Mon Oct 31 2022,8:00p,Detroit Pistons,108,Milwaukee Bucks,110,Box Score,,17341,Fiserv Forum,
Mon Oct 31 2022,9:00p,Memphis Grizzlies,105,Utah Jazz,121,Box Score,,18206,Vivint Arena,
Mon Oct 31 2022,10:30p,Houston Rockets,93,Los Angeles Clippers,95,Box Score,,14887,Crypto.com Arena,
Tue Nov 1 2022,7:30p,Chicago Bulls,108,Brooklyn Nets,99,Box Score,,17732,Barclays Center,
Tue Nov 1 2022,7:30p,Golden State Warriors,109,Miami Heat,116,Box Score,,19600,FTX Arena,
Tue Nov 1 2022,8:00p,Orlando Magic,108,Oklahoma City Thunder,116,Box Score,,13109,Paycom Center,
Tue Nov 1 2022,10:00p,Minnesota Timberwolves,107,Phoenix Suns,116,Box Score,,17071,Footprint Center,
Wed Nov 2 2022,6:00p,Washington Wizards,121,Philadelphia 76ers,111,Box Score,,19855,Wells Fargo Center,
Wed Nov 2 2022,7:30p,Boston Celtics,113,Cleveland Cavaliers,114,Box Score,OT,19432,Rocket Mortgage Fieldhouse,
Wed Nov 2 2022,7:30p,Sacramento Kings,107,Miami Heat,110,Box Score,,19600,FTX Arena,
Wed Nov 2 2022,7:30p,Atlanta Hawks,112,New York Knicks,99,Box Score,,19812,Madison Square Garden (IV),
Wed Nov 2 2022,8:00p,Charlotte Hornets,88,Chicago Bulls,106,Box Score,,17886,United Center,
Wed Nov 2 2022,8:00p,Los Angeles Clippers,109,Houston Rockets,101,Box Score,,15860,Toyota Center,
Wed Nov 2 2022,8:00p,Detroit Pistons,91,Milwaukee Bucks,116,Box Score,,17341,Fiserv Forum,
Wed Nov 2 2022,8:00p,Toronto Raptors,143,San Antonio Spurs,100,Box Score,,12155,AT&T Center,
Wed Nov 2 2022,8:30p,Utah Jazz,100,Dallas Mavericks,103,Box Score,,19877,American Airlines Center,
Wed Nov 2 2022,10:00p,Memphis Grizzlies,111,Portland Trail Blazers,106,Box Score,,19462,Moda Center,
Wed Nov 2 2022,10:30p,New Orleans Pelicans,117,Los Angeles Lakers,120,Box Score,OT,18997,Crypto.com Arena,
Thu Nov 3 2022,7:00p,Golden State Warriors,129,Orlando Magic,130,Box Score,,18846,Amway Center,
Thu Nov 3 2022,8:00p,Denver Nuggets,122,Oklahoma City Thunder,110,Box Score,,13791,Paycom Center,
Fri Nov 4 2022,7:00p,Cleveland Cavaliers,112,Detroit Pistons,88,Box Score,,18744,Little Caesars Arena,
Fri Nov 4 2022,7:00p,Miami Heat,99,Indiana Pacers,101,Box Score,,13141,Gainbridge Fieldhouse,
Fri Nov 4 2022,7:00p,New York Knicks,106,Philadelphia 76ers,104,Box Score,,20679,Wells Fargo Center,
Fri Nov 4 2022,7:00p,Brooklyn Nets,128,Washington Wizards,86,Box Score,,17258,Capital One Arena,
Fri Nov 4 2022,7:30p,Chicago Bulls,119,Boston Celtics,123,Box Score,,19156,TD Garden,
Fri Nov 4 2022,8:00p,Charlotte Hornets,99,Memphis Grizzlies,130,Box Score,,17187,FedEx Forum,
Fri Nov 4 2022,8:00p,Los Angeles Clippers,113,San Antonio Spurs,106,Box Score,,12603,AT&T Center,
Fri Nov 4 2022,8:30p,Toronto Raptors,110,Dallas Mavericks,111,Box Score,,20177,American Airlines Center,
Fri Nov 4 2022,8:30p,Golden State Warriors,105,New Orleans Pelicans,114,Box Score,,18451,Smoothie King Center,
Fri Nov 4 2022,10:00p,Milwaukee Bucks,115,Minnesota Timberwolves,102,Box Score,,17136,Target Center,
Fri Nov 4 2022,10:00p,Portland Trail Blazers,108,Phoenix Suns,106,Box Score,,17071,Footprint Center,
Fri Nov 4 2022,10:30p,Utah Jazz,130,Los Angeles Lakers,116,Box Score,,18997,Crypto.com Arena,
Sat Nov 5 2022,5:00p,Sacramento Kings,126,Orlando Magic,123,Box Score,OT,18846,Amway Center,
Sat Nov 5 2022,7:00p,Brooklyn Nets,98,Charlotte Hornets,94,Box Score,,19398,Spectrum Center,
Sat Nov 5 2022,7:30p,New Orleans Pelicans,121,Atlanta Hawks,124,Box Score,OT,17654,State Farm Arena,
Sat Nov 5 2022,7:30p,Boston Celtics,133,New York Knicks,118,Box Score,,19812,Madison Square Garden (IV),
Sat Nov 5 2022,8:00p,Oklahoma City Thunder,94,Milwaukee Bucks,108,Box Score,,17713,Fiserv Forum,
Sat Nov 5 2022,8:00p,Houston Rockets,117,Minnesota Timberwolves,129,Box Score,,16412,Target Center,
Sat Nov 5 2022,9:00p,San Antonio Spurs,101,Denver Nuggets,126,Box Score,,19641,Ball Arena,
Sat Nov 5 2022,10:00p,Portland Trail Blazers,82,Phoenix Suns,102,Box Score,,17071,Footprint Center,
Sun Nov 6 2022,3:30p,Cleveland Cavaliers,114,Los Angeles Lakers,100,Box Score,,18997,Crypto.com Arena,
Sun Nov 6 2022,6:00p,Washington Wizards,97,Memphis Grizzlies,103,Box Score,,16877,FedEx Forum,
Sun Nov 6 2022,6:00p,Chicago Bulls,104,Toronto Raptors,113,Box Score,,19800,Scotiabank Arena,
Sun Nov 6 2022,10:00p,Utah Jazz,110,Los Angeles Clippers,102,Box Score,,16111,Crypto.com Arena,
Mon Nov 7 2022,7:00p,Washington Wizards,108,Charlotte Hornets,100,Box Score,,13712,Spectrum Center,
Mon Nov 7 2022,7:15p,Houston Rockets,134,Orlando Magic,127,Box Score,,15441,Amway Center,
Mon Nov 7 2022,7:30p,Oklahoma City Thunder,103,Detroit Pistons,112,Box Score,,16223,Little Caesars Arena,
Mon Nov 7 2022,7:45p,New Orleans Pelicans,122,Indiana Pacers,129,Box Score,,14052,Gainbridge Fieldhouse,
Mon Nov 7 2022,8:00p,Phoenix Suns,88,Philadelphia 76ers,100,Box Score,,20347,Wells Fargo Center,
Mon Nov 7 2022,8:15p,Milwaukee Bucks,98,Atlanta Hawks,117,Box Score,,17494,State Farm Arena,
Mon Nov 7 2022,8:30p,Portland Trail Blazers,110,Miami Heat,107,Box Score,,19600,FTX Arena,
Mon Nov 7 2022,8:45p,Toronto Raptors,97,Chicago Bulls,111,Box Score,,21142,United Center,
Mon Nov 7 2022,9:00p,Boston Celtics,109,Memphis Grizzlies,106,Box Score,,17371,FedEx Forum,
Mon Nov 7 2022,9:15p,New York Knicks,120,Minnesota Timberwolves,107,Box Score,,14524,Target Center,
Mon Nov 7 2022,9:30p,Denver Nuggets,115,San Antonio Spurs,109,Box Score,,11574,AT&T Center,
Mon Nov 7 2022,9:45p,Brooklyn Nets,94,Dallas Mavericks,96,Box Score,,20011,American Airlines Center,
Mon Nov 7 2022,10:00p,Sacramento Kings,113,Golden State Warriors,116,Box Score,,18064,Chase Center,
Mon Nov 7 2022,10:15p,Los Angeles Lakers,116,Utah Jazz,139,Box Score,,18206,Vivint Arena,
Mon Nov 7 2022,10:30p,Cleveland Cavaliers,117,Los Angeles Clippers,119,Box Score,,16516,Crypto.com Arena,
Wed Nov 9 2022,5:30p,Dallas Mavericks,87,Orlando Magic,94,Box Score,,18165,Amway Center,
Wed Nov 9 2022,7:00p,Portland Trail Blazers,105,Charlotte Hornets,95,Box Score,,14774,Spectrum Center,
Wed Nov 9 2022,7:00p,Denver Nuggets,122,Indiana Pacers,119,Box Score,,14069,Gainbridge Fieldhouse,
Wed Nov 9 2022,7:30p,Utah Jazz,125,Atlanta Hawks,119,Box Score,,15845,State Farm Arena,
Wed Nov 9 2022,7:30p,Detroit Pistons,112,Boston Celtics,128,Box Score,,19156,TD Garden,
Wed Nov 9 2022,7:30p,New York Knicks,85,Brooklyn Nets,112,Box Score,,18156,Barclays Center,
Wed Nov 9 2022,7:30p,Houston Rockets,109,Toronto Raptors,116,Box Score,,19800,Scotiabank Arena,
Wed Nov 9 2022,8:00p,New Orleans Pelicans,115,Chicago Bulls,111,Box Score,,19621,United Center,
Wed Nov 9 2022,8:00p,Phoenix Suns,129,Minnesota Timberwolves,117,Box Score,,16062,Target Center,
Wed Nov 9 2022,8:00p,Milwaukee Bucks,136,Oklahoma City Thunder,132,Box Score,2OT,15180,Paycom Center,
Wed Nov 9 2022,8:00p,Memphis Grizzlies,124,San Antonio Spurs,122,Box Score,OT,13507,AT&T Center,
Wed Nov 9 2022,10:00p,Los Angeles Lakers,101,Los Angeles Clippers,114,Box Score,,19068,Crypto.com Arena,
Wed Nov 9 2022,10:00p,Cleveland Cavaliers,120,Sacramento Kings,127,Box Score,,13816,Golden 1 Center,
Thu Nov 10 2022,7:00p,Dallas Mavericks,105,Washington Wizards,113,Box Score,,18320,Capital One Arena,
Thu Nov 10 2022,7:30p,Philadelphia 76ers,95,Atlanta Hawks,104,Box Score,,16066,State Farm Arena,
Thu Nov 10 2022,7:30p,Charlotte Hornets,112,Miami Heat,117,Box Score,OT,19600,FTX Arena,
Thu Nov 10 2022,8:00p,Portland Trail Blazers,106,New Orleans Pelicans,95,Box Score,,14289,Smoothie King Center,
Fri Nov 11 2022,7:00p,Denver Nuggets,112,Boston Celtics,131,Box Score,,19156,TD Garden,
Fri Nov 11 2022,7:00p,Phoenix Suns,97,Orlando Magic,114,Box Score,,15879,Amway Center,
Fri Nov 11 2022,7:30p,Detroit Pistons,112,New York Knicks,121,Box Score,,19812,Madison Square Garden (IV),
Fri Nov 11 2022,8:00p,Toronto Raptors,113,Oklahoma City Thunder,132,Box Score,,16104,Paycom Center,
Fri Nov 11 2022,8:00p,Milwaukee Bucks,93,San Antonio Spurs,111,Box Score,,15642,AT&T Center,
Fri Nov 11 2022,9:30p,Minnesota Timberwolves,103,Memphis Grizzlies,114,Box Score,,16939,FedEx Forum,
Fri Nov 11 2022,10:00p,Cleveland Cavaliers,101,Golden State Warriors,106,Box Score,,18064,Chase Center,
Fri Nov 11 2022,10:30p,Sacramento Kings,120,Los Angeles Lakers,114,Box Score,,17849,Crypto.com Arena,
Sat Nov 12 2022,4:00p,Brooklyn Nets,110,Los Angeles Clippers,95,Box Score,,17777,Crypto.com Arena,
Sat Nov 12 2022,6:00p,Utah Jazz,112,Washington Wizards,121,Box Score,,13673,Capital One Arena,
Sat Nov 12 2022,7:00p,Boston Celtics,117,Detroit Pistons,108,Box Score,,20190,Little Caesars Arena,
Sat Nov 12 2022,7:00p,Toronto Raptors,104,Indiana Pacers,118,Box Score,,13089,Gainbridge Fieldhouse,
Sat Nov 12 2022,7:30p,Atlanta Hawks,109,Philadelphia 76ers,121,Box Score,,20245,Wells Fargo Center,
Sat Nov 12 2022,8:00p,Charlotte Hornets,115,Miami Heat,132,Box Score,,19600,FTX Arena,
Sat Nov 12 2022,8:30p,Portland Trail Blazers,112,Dallas Mavericks,117,Box Score,,20277,American Airlines Center,
Sat Nov 12 2022,8:30p,Houston Rockets,106,New Orleans Pelicans,119,Box Score,,15367,Smoothie King Center,
Sun Nov 13 2022,12:00p,Oklahoma City Thunder,145,New York Knicks,135,Box Score,,18325,Madison Square Garden (IV),
Sun Nov 13 2022,6:00p,Minnesota Timberwolves,129,Cleveland Cavaliers,124,Box Score,,19432,Rocket Mortgage Fieldhouse,
Sun Nov 13 2022,6:00p,Memphis Grizzlies,92,Washington Wizards,102,Box Score,,17667,Capital One Arena,
Sun Nov 13 2022,7:30p,Utah Jazz,98,Philadelphia 76ers,105,Box Score,,19761,Wells Fargo Center,
Sun Nov 13 2022,8:00p,Denver Nuggets,126,Chicago Bulls,103,Box Score,,21602,United Center,
Sun Nov 13 2022,9:00p,Golden State Warriors,115,Sacramento Kings,122,Box Score,,16410,Golden 1 Center,
Sun Nov 13 2022,9:30p,Brooklyn Nets,103,Los Angeles Lakers,116,Box Score,,18040,Crypto.com Arena,
Mon Nov 14 2022,7:00p,Toronto Raptors,115,Detroit Pistons,111,Box Score,,16988,Little Caesars Arena,
Mon Nov 14 2022,7:00p,Charlotte Hornets,112,Orlando Magic,105,Box Score,,15018,Amway Center,
Mon Nov 14 2022,7:30p,Oklahoma City Thunder,122,Boston Celtics,126,Box Score,,,TD Garden,
Mon Nov 14 2022,7:30p,Phoenix Suns,112,Miami Heat,113,Box Score,,19600,FTX Arena,
Mon Nov 14 2022,8:00p,Los Angeles Clippers,122,Houston Rockets,106,Box Score,,16098,Toyota Center,
Mon Nov 14 2022,8:00p,Atlanta Hawks,121,Milwaukee Bucks,106,Box Score,,17341,Fiserv Forum,
Mon Nov 14 2022,10:00p,San Antonio Spurs,95,Golden State Warriors,132,Box Score,,18064,Chase Center,
Tue Nov 15 2022,7:30p,Memphis Grizzlies,102,New Orleans Pelicans,113,Box Score,,14032,Smoothie King Center,
Tue Nov 15 2022,8:30p,Los Angeles Clippers,101,Dallas Mavericks,103,Box Score,,19810,American Airlines Center,
Tue Nov 15 2022,9:00p,New York Knicks,118,Utah Jazz,111,Box Score,,18206,Vivint Arena,
Tue Nov 15 2022,10:00p,San Antonio Spurs,110,Portland Trail Blazers,117,Box Score,,19012,Moda Center,
Tue Nov 15 2022,10:00p,Brooklyn Nets,121,Sacramento Kings,153,Box Score,,17611,Golden 1 Center,
Wed Nov 16 2022,7:00p,Indiana Pacers,125,Charlotte Hornets,113,Box Score,,14756,Spectrum Center,
Wed Nov 16 2022,7:00p,Minnesota Timberwolves,126,Orlando Magic,108,Box Score,,16527,Amway Center,
Wed Nov 16 2022,7:00p,Oklahoma City Thunder,121,Washington Wizards,120,Box Score,,12630,Capital One Arena,
Wed Nov 16 2022,7:30p,Boston Celtics,126,Atlanta Hawks,101,Box Score,,18165,State Farm Arena,
Wed Nov 16 2022,7:30p,Miami Heat,104,Toronto Raptors,112,Box Score,,19800,Scotiabank Arena,
Wed Nov 16 2022,8:00p,Cleveland Cavaliers,98,Milwaukee Bucks,113,Box Score,,17341,Fiserv Forum,
Wed Nov 16 2022,8:00p,Chicago Bulls,110,New Orleans Pelicans,124,Box Score,,14658,Smoothie King Center,
Wed Nov 16 2022,8:30p,Houston Rockets,101,Dallas Mavericks,92,Box Score,,19602,American Airlines Center,
Wed Nov 16 2022,10:00p,New York Knicks,106,Denver Nuggets,103,Box Score,,18210,Ball Arena,
Wed Nov 16 2022,10:00p,Golden State Warriors,119,Phoenix Suns,130,Box Score,,17071,Footprint Center,
Thu Nov 17 2022,10:00p,Brooklyn Nets,109,Portland Trail Blazers,107,Box Score,,19393,Moda Center,
Thu Nov 17 2022,10:00p,San Antonio Spurs,112,Sacramento Kings,130,Box Score,,16522,Golden 1 Center,
Thu Nov 17 2022,10:30p,Detroit Pistons,91,Los Angeles Clippers,96,Box Score,,17822,Crypto.com Arena,
Fri Nov 18 2022,7:00p,Miami Heat,106,Washington Wizards,107,Box Score,OT,18772,Capital One Arena,
Fri Nov 18 2022,7:30p,Charlotte Hornets,122,Cleveland Cavaliers,132,Box Score,2OT,19432,Rocket Mortgage Fieldhouse,
Fri Nov 18 2022,7:30p,Milwaukee Bucks,102,Philadelphia 76ers,110,Box Score,,19769,Wells Fargo Center,
Fri Nov 18 2022,8:00p,Orlando Magic,108,Chicago Bulls,107,Box Score,,21031,United Center,
Fri Nov 18 2022,8:00p,Indiana Pacers,99,Houston Rockets,91,Box Score,,15882,Toyota Center,
Fri Nov 18 2022,8:00p,Oklahoma City Thunder,110,Memphis Grizzlies,121,Box Score,,17324,FedEx Forum,
Fri Nov 18 2022,8:30p,Denver Nuggets,99,Dallas Mavericks,127,Box Score,,20135,American Airlines Center,
Fri Nov 18 2022,8:30p,Boston Celtics,117,New Orleans Pelicans,109,Box Score,,17828,Smoothie King Center,
Fri Nov 18 2022,9:00p,Phoenix Suns,133,Utah Jazz,134,Box Score,,18206,Vivint Arena,
Fri Nov 18 2022,10:00p,New York Knicks,101,Golden State Warriors,111,Box Score,,18064,Chase Center,
Fri Nov 18 2022,10:30p,Detroit Pistons,121,Los Angeles Lakers,128,Box Score,,18095,Crypto.com Arena,
Sat Nov 19 2022,6:00p,Toronto Raptors,122,Atlanta Hawks,124,Box Score,OT,18051,State Farm Arena,
Sat Nov 19 2022,7:00p,Orlando Magic,113,Indiana Pacers,114,Box Score,,14478,Gainbridge Fieldhouse,
Sat Nov 19 2022,7:30p,Minnesota Timberwolves,112,Philadelphia 76ers,109,Box Score,,20515,Wells Fargo Center,
